date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:27:13	22180/22180	---M--	200	added ('OK')	application/javascript	etag:%2265bca73c-56a4%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/js/helpers.js	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/js/helpers.js	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:14	43818/43818	---M--	200	added ('OK')	application/javascript	etag:%2265bca73c-ab2a%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/js/template-customizer.js	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/js/template-customizer.js	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:14	1204/1204	---M--	200	added ('OK')	application/javascript	etag:%2265bca73f-4b4%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/js/config.js	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/js/config.js	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:14	126980/126980	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-1f004%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/dashboards-analytics.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/dashboards-analytics.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:14	121844/121844	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-1dbf4%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/dashboards-crm.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/dashboards-crm.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:15	109816/109816	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-1acf8%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-dashboard.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-dashboard.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:15	108766/108766	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-1a8de%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-logistics-dashboard.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-logistics-dashboard.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:15	99255/99255	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-183b7%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-academy-dashboard.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-academy-dashboard.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:15	80595/80595	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-13ad3%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/layouts-collapsed-menu.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/layouts-collapsed-menu.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:15	80416/80416	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-13a20%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/layouts-content-navbar.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/layouts-content-navbar.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:16	80805/80805	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-13ba5%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/layouts-content-navbar-with-sidebar.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/layouts-content-navbar-with-sidebar.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:16	31018/31018	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-792a%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/layouts-without-menu.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/layouts-without-menu.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:16	56711/56711	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-dd87%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/layouts-without-navbar.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/layouts-without-navbar.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:16	80403/80403	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-13a13%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/layouts-fluid.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/layouts-fluid.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:17	80427/80427	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-13a2b%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/layouts-container.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/layouts-container.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:17	5242/5242	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-147a%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/layouts-blank.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/layouts-blank.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:17	129374/129374	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-1f95e%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-email.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-email.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:17	108297/108297	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-1a709%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-chat.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-chat.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:17	88423/88423	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-15967%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-calendar.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-calendar.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:18	92446/92446	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-1691e%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-kanban.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-kanban.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:18	84248/84248	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-14918%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-product-list.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-product-list.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:18	101849/101849	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-18dd9%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-product-add.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-product-add.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:18	85953/85953	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-14fc1%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-category-list.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-category-list.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:19	83264/83264	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-14540%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-order-list.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-order-list.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:19	102220/102220	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-18f4c%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-order-details.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-order-details.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:19	87484/87484	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-155bc%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-customer-all.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-customer-all.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:19	98151/98151	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-17f67%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-customer-details-overview.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-customer-details-overview.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:20	101010/101010	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-18a92%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-customer-details-security.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-customer-details-security.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:20	125746/125746	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-1eb32%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-customer-details-billing.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-customer-details-billing.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:20	98496/98496	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-180c0%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-customer-details-notifications.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-customer-details-notifications.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:20	84881/84881	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-14b91%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-manage-reviews.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-manage-reviews.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:21	85938/85938	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-14fb2%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-referral.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-referral.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:21	93715/93715	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-16e13%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-settings-detail.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-settings-detail.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:21	98302/98302	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-17ffe%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-settings-payments.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-settings-payments.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:21	87594/87594	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-1562a%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-settings-checkout.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-settings-checkout.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:22	90692/90692	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-16244%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-settings-shipping.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-settings-shipping.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:22	87454/87454	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-1559e%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-settings-locations.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-settings-locations.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:22	91722/91722	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-1664a%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-settings-notifications.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-settings-notifications.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:22	99705/99705	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-18579%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-academy-course.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-academy-course.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:23	94657/94657	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-171c1%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-academy-course-details.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-academy-course-details.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:23	96432/96432	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-178b0%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-logistics-fleet.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-logistics-fleet.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:23	83366/83366	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-145a6%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-invoice-list.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-invoice-list.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:23	94371/94371	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-170a3%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-invoice-preview.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-invoice-preview.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:24	101436/101436	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-18c3c%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-invoice-edit.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-invoice-edit.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:24	98770/98770	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-181d2%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-invoice-add.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-invoice-add.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:24	88908/88908	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-15b4c%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-user-list.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-user-list.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:24	100594/100594	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-188f2%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-user-view-account.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-user-view-account.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:24	101431/101431	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-18c37%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-user-view-security.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-user-view-security.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:25	114872/114872	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-1c0b8%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-user-view-billing.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-user-view-billing.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:25	98456/98456	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-18098%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-user-view-notifications.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-user-view-notifications.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:25	103135/103135	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-192df%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-user-view-connections.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-user-view-connections.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:25	106221/106221	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-19eed%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-access-roles.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-access-roles.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
